M,kd,beta,p,Ff,FT,mf,mT,eps_thin,eps_lna,thin_pred,lna_pred,CV2f,thin_err,lna_err,hybrid_pred,hyb_err
385,10.0,1.0,0.02529263876492162,1.1138549247780232,4.99999999999281,0.26233407550465426,9.999999999999478,0.02531645569620253,0.02689582831271864,1.1012658227846281,1.1075833132508746,4.245940687023945,-0.11057143130118718,-0.055084235832363326,1.1075833132506812,-0.05508423583406197
535,10.0,1.0,0.018339672064189523,1.0798697374714528,4.99999999999281,0.18827544565808485,9.999999999999478,0.01834862385321101,0.01917254260351867,1.0733944954127121,1.0766901704140748,5.73558455111845,-0.0810725346512503,-0.03980940914591635,1.0766901704139369,-0.03980940914764275
744,10.0,1.0,0.013259250794837378,1.0563818977123798,4.99999999999281,0.13511740864047006,9.999999999999478,0.013262599469496022,0.013690818068211921,1.0530503978778887,1.0547632722728477,7.818251610518043,-0.05908811107221046,-0.028708246887842126,1.0547632722727494,-0.02870824688958684
1033,10.0,1.0,0.009586471263433557,1.0400727964508927,4.99999999999281,0.0971751848726129,9.999999999999478,0.009587727708533078,0.009810654112711734,1.0383509108340634,1.039242616450847,10.70306990220112,-0.0429689407610816,-0.02071679726826625,1.0392426164507764,-0.020716797270028287
1436,10.0,1.0,0.006915160176535054,1.0285511955441824,4.99999999999281,0.06982998649513952,9.999999999999478,0.006915629322268326,0.0070312815573090335,1.0276625172890237,1.0281251262292361,14.729362658773736,-0.031125780837565675,-0.014922993830045805,1.0281251262291855,-0.014922993831818943
1995,10.0,1.0,0.004987355828755274,1.0204096783084577,4.99999999999281,0.05022512163270494,9.999999999999478,0.004987531172069825,0.005047559702974182,1.0199501246882434,1.0201902388118966,20.316718907535723,-0.02251645583379369,-0.010751737153553154,1.0201902388118604,-0.010751737155326513
2,30.0,0.0,0.2338116350940097,4.870493080747326,4.936741671677046,9.999999999999641,10.467623270187662,0.9375,0.9654105460508061,4.69069531719723,4.861642184203225,0.48704930807475005,-0.046453451743512675,-0.002286762011829313,4.8005719269147,-0.018065179907032713
3,30.0,0.0,0.23406402105995208,4.808768252714972,4.907114078391956,9.999999999999655,10.70219206317951,0.9090909090909091,0.9489616028418961,4.551921889447232,4.7958464113675845,0.48087682527151376,-0.06743554509641125,-0.003392656231624658,4.707701238316968,-0.026535354133442324
4,30.0,0.0,0.23430835973960798,4.748933755829854,4.87871971949937,9.999999999999687,10.93723343895812,0.8823529411764706,0.933041942291009,4.422399752499444,4.732167769164036,0.4748933755830002,-0.08710049966143762,-0.004472201366520712,4.61900818068413,-0.03465667403263151
5,30.0,0.0,0.23454505723861,4.690901144768826,4.851489326653068,9.999999999999703,11.172725286192753,0.8571428571428571,0.9176274835495024,4.301276565702629,4.67050993419801,0.46909011447689647,-0.10556353686644182,-0.005524724117771829,4.534232458734422,-0.04244727232980827
7,30.0,0.0,0.2349970108695831,4.5799163043454065,4.8002668534193,9.999999999999737,11.64497907608682,0.8108108108108109,0.8882245829391279,4.0812974487183515,4.552898331756511,0.4579916304345527,-0.13928226618645156,-0.0075470961586728835,4.375490440935749,-0.057103531488018056
10,30.0,0.0,0.2356262549091288,4.425050196362627,4.730686338744683,9.99999999999974,12.356262549091031,0.75,0.8473811309312782,3.7980147540585127,4.389524523725113,0.4425050196362742,-0.18307335844888362,-0.010372307149028703,4.16131320887534,-0.07700237145936539
14,30.0,0.0,0.23638602935783007,4.237617644036259,4.64945661723143,9.999999999999767,13.309404411009389,0.6818181818181818,0.7982688777676279,3.488265875385066,4.193075511070512,0.4237617644036358,-0.2314515952899845,-0.01375768786280085,3.9132476382989774,-0.10018786694431825
20,30.0,0.0,0.2373845658058033,3.990765264462257,4.547498801366338,9.999999999999769,14.747691316115837,0.6,0.7341786694968195,3.1284992808198027,3.936714677987278,0.3990765264462349,-0.2883094818200287,-0.018072493725012295,3.6044979500287,-0.12915333711521104
28,30.0,0.0,0.23850749820149858,3.7128397985660735,4.439559477627751,9.999999999999753,16.67820994964171,0.5172413793103449,0.6628922992395184,2.779082488428147,3.6515691969580737,0.3712839798566165,-0.3441992080149675,-0.022585410918988136,3.2800574904957367,-0.15953109663869303
39,30.0,0.0,0.23976125087569755,3.4027551366072286,4.327662179929011,9.999999999999758,19.350688784151963,0.43478260869565216,0.5844960342127765,2.4468096434473963,3.337984136851106,0.34027551366073105,-0.3978538963856548,-0.02695697067474856,2.94500534736835,-0.1905103779677011
54,30.0,0.0,0.2410895940958865,3.0753523247102814,4.21917449752032,9.999999999999734,23.018838081177606,0.35714285714285715,0.5030147764931006,2.1497051776858287,3.0120591059724022,0.30753523247103637,-0.4460192787524272,-0.030497577680799304,2.619292340362473,-0.21975063169646347
74,30.0,0.0,0.24240770211882007,2.752679827170063,4.121803433005575,9.999999999999725,27.938169956792407,0.28846153846153844,0.4239116812027534,1.9005202210593004,2.695646724811014,0.2752679827170139,-0.4862038079634252,-0.03254051394608504,2.3233689416699206,-0.24494541378576984
103,30.0,0.0,0.24375396103453398,2.4266319462284582,4.032855114123826,9.999999999999673,35.10665798655667,0.22556390977443608,0.34498448688841094,1.6841026573211635,2.3799379475536435,0.24266319462285377,-0.5204771215661446,-0.03273023487120008,2.046287965352901,-0.26660273652294164
