kind,case,kd,M,p,xf,g
meanfield,iteron,100.0,23,0.6492068047446278,185.06824349087356,0.9724761541152809
meanfield,decoy,100.0,26,0.646869455195346,183.181394164921,1.0575264927905408
meanfield,iteron,100.0,26,0.646869455195346,183.181394164921,0.9685958865785526
meanfield,decoy,100.0,29,0.6445189537047245,181.30895034256298,1.0640943152444493
meanfield,iteron,100.0,29,0.6445189537047245,181.30895034256298,0.9646491168122971
meanfield,decoy,100.0,32,0.6421555411058227,179.45102268461366,1.0706388203262873
meanfield,iteron,100.0,32,0.6421555411058227,179.45102268461366,0.960636156167003
meanfield,decoy,100.0,36,0.638984675468476,176.99655168313487,1.0793241220216576
meanfield,iteron,100.0,36,0.638984675468476,176.99655168313487,0.9551832387313024
meanfield,decoy,100.0,40,0.6357919262997599,174.5683229480096,1.0879572942861635
meanfield,iteron,100.0,40,0.6357919262997599,174.5683229480096,0.9496144015129486
meanfield,decoy,100.0,45,0.631771214616909,171.5702953422391,1.0986660872396565
meanfield,iteron,100.0,45,0.631771214616909,171.5702953422391,0.9424923253510505
meanfield,decoy,100.0,50,0.6277186767309857,168.61406616345073,1.1092717958449423
meanfield,iteron,100.0,50,0.6277186767309857,168.61406616345073,0.9351941398892446
meanfield,decoy,100.0,55,0.6236357287964208,165.70003491619687,1.1197624187168531
meanfield,iteron,100.0,55,0.6236357287964208,165.70003491619687,0.927723359396138
meanfield,decoy,100.0,62,0.6178713556742889,161.69197594819408,1.1342332804533946
meanfield,iteron,100.0,62,0.6178713556742889,161.69197594819408,0.9169821015135576
meanfield,decoy,100.0,69,0.6120546003630467,157.76823257494976,1.1484230409722764
meanfield,iteron,100.0,69,0.6120546003630467,157.76823257494976,0.9059233671127259
meanfield,decoy,100.0,77,0.6053485690572873,153.38816018258888,1.1642555649373023
meanfield,iteron,100.0,77,0.6053485690572873,153.38816018258888,0.8929150954403671
meanfield,decoy,100.0,86,0.5977384718805213,148.59449141827517,1.1815236880574371
meanfield,iteron,100.0,86,0.5977384718805213,148.59449141827517,0.8778395576276983
meanfield,decoy,100.0,96,0.5892135659802379,143.43549766589715,1.1999657203021306
meanfield,iteron,100.0,96,0.5892135659802379,143.43549766589715,0.8605884013677642
meanfield,decoy,100.0,107,0.5797695336654279,137.9646598977992,1.2192609099227258
meanfield,iteron,100.0,107,0.5797695336654279,137.9646598977992,0.8410745838208503
meanfield,decoy,100.0,119,0.5694111006899318,132.2400790178981,1.2390287964124305
