series,dosage,M_pre,M_post,replication_age,age_bin,age_over_T,mean_xf,mean_xf_over_mean,weight
M = 212 static (matched buffer),0,212,212,1.0,35,0.8875,67.22781934926705,1.2833857898345205,1239.7599466925199
M = 212 static (matched buffer),0,212,212,1.0,36,0.9125,68.12682632992785,1.300547922938198,1114.4819439064918
M = 212 static (matched buffer),0,212,212,1.0,37,0.9375,68.82103025988444,1.3138003453368023,938.8533841162173
M = 212 static (matched buffer),0,212,212,1.0,38,0.9625,70.27191868180452,1.34149795030676,678.5485301750222
M = 212 static (matched buffer),0,212,212,1.0,39,0.9875,71.1632638053573,1.3585138177925526,267.39903881675065
"M = 141, reservoir only",0,141,282,0.5,0,0.0125,39.10671480399364,0.7475003416018758,5567.113503342885
"M = 141, reservoir only",0,141,282,0.5,1,0.0375,42.934239509893025,0.8206610772834431,1486.1027908830292
"M = 141, reservoir only",0,141,282,0.5,2,0.0625,43.83163076204598,0.8378141485883834,1483.246572881161
"M = 141, reservoir only",0,141,282,0.5,3,0.0875,44.959388355813786,0.8593705281209197,1459.1669262777905
"M = 141, reservoir only",0,141,282,0.5,4,0.1125,46.22451694079168,0.8835526680470457,1456.4765349725628
"M = 141, reservoir only",0,141,282,0.5,5,0.1375,47.046932112652826,0.8992726185718081,1475.169761477429
"M = 141, reservoir only",0,141,282,0.5,6,0.1625,48.02032352450473,0.9178783852929064,1468.6699072973663
"M = 141, reservoir only",0,141,282,0.5,7,0.1875,49.04147584671621,0.9373970718792489,1474.0240900384617
"M = 141, reservoir only",0,141,282,0.5,8,0.2125,50.24414184778697,0.9603852786651983,1443.4926656336759
"M = 141, reservoir only",0,141,282,0.5,9,0.2375,51.13778849715255,0.9774667742349546,1461.0029649288372
"M = 141, reservoir only",0,141,282,0.5,10,0.2625,52.303430204064796,0.9997472848446906,1451.7119401841828
"M = 141, reservoir only",0,141,282,0.5,11,0.2875,53.39749978221579,1.0206597390741767,1438.5310233263085
"M = 141, reservoir only",0,141,282,0.5,12,0.3125,54.49856552023575,1.0417059205144032,1385.0342370799412
"M = 141, reservoir only",0,141,282,0.5,13,0.3375,55.54770268796193,1.06175951988201,1335.0617332158008
"M = 141, reservoir only",0,141,282,0.5,14,0.3625,56.6648823811064,1.083113709474302,1301.2806567359905
"M = 141, reservoir only",0,141,282,0.5,15,0.3875,57.78070612883449,1.1044419810198591,1207.380413838184
"M = 141, reservoir only",0,141,282,0.5,16,0.4125,58.9926071985021,1.1276067103535463,1107.5829971275245
"M = 141, reservoir only",0,141,282,0.5,17,0.4375,60.09191369823284,1.1486192650565554,932.5963626848129
"M = 141, reservoir only",0,141,282,0.5,18,0.4625,61.55327998912086,1.176552365730425,654.3045405471019
"M = 141, reservoir only",0,141,282,0.5,19,0.4875,62.68117569089169,1.198111385110874,262.0503775269346
"M = 141, reservoir only",0,141,282,0.5,20,0.5125,42.901135618753464,0.8200283171536495,5535.263981436021
"M = 141, reservoir only",0,141,282,0.5,21,0.5375,46.08652671116983,0.8809150712993506,1463.263672402592
"M = 141, reservoir only",0,141,282,0.5,22,0.5625,46.62559126162846,0.8912189522986345,1484.7975309436167
"M = 141, reservoir only",0,141,282,0.5,23,0.5875,47.68690090313462,0.9115052208729052,1453.442764441466
"M = 141, reservoir only",0,141,282,0.5,24,0.6125,48.39990796557043,0.925133903962411,1464.9285326440292
"M = 141, reservoir only",0,141,282,0.5,25,0.6375,49.0697307950165,0.9379371475059607,1474.4427574818505
"M = 141, reservoir only",0,141,282,0.5,26,0.6625,49.79208460377662,0.951744487792966,1490.5772522318541
"M = 141, reservoir only",0,141,282,0.5,27,0.6875,50.8242542556489,0.9714737637301724,1475.4526218157255
